3	1
3	4
4	1
4	2
3	5
4	5
5	1
3	7
4	7
6	7
7	1
7	5
7	2
8	7
7	9
10	1
4	10
10	5
7	10
4	11
7	11
3	12
12	1
12	4
12	5
12	7
3	13
4	13
13	5
13	7
4	14
14	5
7	14
3	15
12	15
13	15
15	1
4	15
7	15
11	16
4	16
7	16
4	17
7	17
7	18
19	5
3	20
20	15
20	13
20	1
4	20
20	7
21	5
21	7
22	9
22	4
22	7
13	23
4	23
3	24
12	24
4	24
12	25
3	25
4	25
5	25
7	25
3	26
26	12
26	5
26	4
26	7
12	27
27	25
3	27
15	27
13	27
10	27
27	1
4	27
5	27
26	27
7	27
28	4
28	14
28	5
28	7
27	29
27	30
3	30
31	7
32	4
4	33
34	20
34	4
34	7
36	4
36	17
36	14
36	5
36	7
20	37
37	27
13	37
4	37
5	37
26	37
34	37
7	37
38	4
39	27
7	40
12	41
41	27
3	41
41	24
4	41
41	7
3	42
4	42
12	43
44	27
12	44
41	44
3	44
4	44
44	7
41	45
3	45
4	45
7	45
12	46
3	46
4	47
4	48
4	49
3	50
50	12
50	41
50	44
50	45
50	4
50	24
50	7
7	51
52	17
12	53
5	54
55	17
56	35
7	56
7	57
7	58
7	59
60	5
61	47
4	61
60	62
19	62
21	62
4	62
62	5
7	62
12	63
63	27
3	63
63	15
4	63
63	7
7	64
65	62
65	5
65	66
62	66
5	66
66	54
4	67
68	4
68	7
4	69
